1,"Number of Datasets"
3,"Number of Columns per Dataset"
400,"Maximum Number of Rows for Any Dataset"
#DATASETS q-units: Angstrom I-units: Absolute intensity(cm^-1) X thickness(cm) 
"latest_0021301_caz","KF LIPNOR2 h2oON 32, conf 21, I0=21, trans=25252960.564235, time=1800","",
q,I,dI,
 6.610893e-03, NaN, NaN
 1.383268e-02, NaN, NaN
 2.105447e-02, NaN, NaN
 2.827625e-02, NaN, NaN
 3.549804e-02, NaN, NaN
 4.271983e-02, NaN, NaN
 4.994161e-02, NaN, NaN
 5.716340e-02, NaN, NaN
 6.438519e-02, 4.615218e-02, 1.962785e-04
 7.160697e-02, 7.581884e-02, 2.206545e-04
 7.882876e-02, 9.615978e-02, 2.534306e-04
 8.605055e-02, 9.771106e-02, 2.332206e-04
 9.327233e-02, 9.297374e-02, 2.185845e-04
 1.004941e-01, 8.717695e-02, 2.039742e-04
 1.077159e-01, 8.186264e-02, 1.897094e-04
 1.149377e-01, 7.934043e-02, 1.855608e-04
 1.221595e-01, 7.974978e-02, 1.760489e-04
 1.293813e-01, 8.157058e-02, 1.721577e-04
 1.366031e-01, 7.701551e-02, 1.620941e-04
 1.438248e-01, 6.555244e-02, 1.418117e-04
 1.510466e-01, 5.064169e-02, 1.252318e-04
 1.582684e-01, 3.815898e-02, 1.035717e-04
 1.654902e-01, 2.839982e-02, 8.789566e-05
 1.727120e-01, 2.293318e-02, 7.743498e-05
 1.799338e-01, 1.948842e-02, 6.977437e-05
 1.871556e-01, 1.716183e-02, 6.429635e-05
 1.943773e-01, 1.559466e-02, 6.129803e-05
 2.015991e-01, 1.428274e-02, 5.629105e-05
 2.088209e-01, 1.338577e-02, 5.294706e-05
 2.160427e-01, 1.280332e-02, 5.228195e-05
 2.232645e-01, 1.209332e-02, 4.972256e-05
 2.304863e-01, 1.131851e-02, 4.657389e-05
 2.377081e-01, 1.064563e-02, 4.597012e-05
 2.449299e-01, 1.004231e-02, 4.256591e-05
 2.521516e-01, 9.444755e-03, 4.162382e-05
 2.593734e-01, 9.316209e-03, 4.015719e-05
 2.665952e-01, 9.300655e-03, 3.884997e-05
 2.738170e-01, 9.426419e-03, 3.902451e-05
 2.810388e-01, 9.200228e-03, 3.846809e-05
 2.882606e-01, 9.130943e-03, 3.889242e-05
 2.954824e-01, 8.883610e-03, 3.772446e-05
 3.027041e-01, 8.586951e-03, 3.849683e-05
 3.099259e-01, 8.388527e-03, 3.676033e-05
 3.171477e-01, 8.243251e-03, 3.671253e-05
 3.243695e-01, 8.170449e-03, 3.728894e-05
 3.315913e-01, 8.211949e-03, 3.622135e-05
 3.388131e-01, 8.413601e-03, 3.632868e-05
 3.460349e-01, 8.794946e-03, 3.741311e-05
 3.532567e-01, 9.235565e-03, 3.880798e-05
 3.604784e-01, 9.825144e-03, 3.831696e-05
 3.677002e-01, 1.032766e-02, 4.038066e-05
 3.749220e-01, 1.085698e-02, 4.093711e-05
 3.821438e-01, 1.133613e-02, 4.174586e-05
 3.893656e-01, 1.169460e-02, 4.231540e-05
 3.965874e-01, 1.166346e-02, 4.125563e-05
 4.038092e-01, 1.162580e-02, 4.259994e-05
 4.110309e-01, 1.119561e-02, 3.967881e-05
 4.182527e-01, 1.043801e-02, 3.905943e-05
 4.254745e-01, 9.861154e-03, 3.773211e-05
 4.326963e-01, 9.188868e-03, 3.490713e-05
 4.399181e-01, 8.559263e-03, 3.251466e-05
 4.471399e-01, 8.156896e-03, 3.175043e-05
 4.543617e-01, 7.924125e-03, 3.027498e-05
 4.615835e-01, 7.709787e-03, 2.952230e-05
 4.688052e-01, 7.478793e-03, 2.918266e-05
 4.760270e-01, 7.377781e-03, 2.798270e-05
 4.832488e-01, 7.259513e-03, 2.807404e-05
 4.904706e-01, 7.193707e-03, 2.702473e-05
 4.976924e-01, 7.147085e-03, 2.706686e-05
 5.049142e-01, 7.085381e-03, 2.691824e-05
 5.121360e-01, 7.052288e-03, 2.631836e-05
 5.193577e-01, 7.009607e-03, 2.617238e-05
 5.265795e-01, 7.033590e-03, 2.607753e-05
 5.338013e-01, 7.023092e-03, 2.529305e-05
