1,"Number of Datasets"
3,"Number of Columns per Dataset"
400,"Maximum Number of Rows for Any Dataset"
#DATASETS q-units: Angstrom I-units: Absolute intensity(cm^-1) X thickness(cm) 
"latest_0021299_caz","KF LIPNOR2 h2oON 45, conf 21, I0=21, trans=25287647.442897, time=1800","",
q,I,dI,
 6.610893e-03, NaN, NaN
 1.383268e-02, NaN, NaN
 2.105447e-02, NaN, NaN
 2.827625e-02, NaN, NaN
 3.549804e-02, NaN, NaN
 4.271983e-02, NaN, NaN
 4.994161e-02, NaN, NaN
 5.716340e-02, NaN, NaN
 6.438519e-02, 4.917878e-02, 2.062171e-04
 7.160697e-02, 7.682518e-02, 2.260660e-04
 7.882876e-02, 9.641127e-02, 2.582767e-04
 8.605055e-02, 1.004088e-01, 2.406245e-04
 9.327233e-02, 9.909842e-02, 2.296845e-04
 1.004941e-01, 9.374513e-02, 2.152820e-04
 1.077159e-01, 8.877783e-02, 2.010747e-04
 1.149377e-01, 8.479316e-02, 1.952443e-04
 1.221595e-01, 8.348325e-02, 1.833274e-04
 1.293813e-01, 8.155077e-02, 1.751994e-04
 1.366031e-01, 7.394250e-02, 1.616532e-04
 1.438248e-01, 6.084622e-02, 1.390572e-04
 1.510466e-01, 4.696055e-02, 1.227401e-04
 1.582684e-01, 3.660839e-02, 1.032505e-04
 1.654902e-01, 2.872956e-02, 8.997734e-05
 1.727120e-01, 2.441466e-02, 8.131853e-05
 1.799338e-01, 2.145532e-02, 7.451337e-05
 1.871556e-01, 1.937446e-02, 6.953100e-05
 1.943773e-01, 1.784128e-02, 6.673147e-05
 2.015991e-01, 1.639504e-02, 6.138311e-05
 2.088209e-01, 1.508450e-02, 5.720641e-05
 2.160427e-01, 1.425573e-02, 5.614931e-05
 2.232645e-01, 1.350017e-02, 5.346991e-05
 2.304863e-01, 1.260392e-02, 5.002185e-05
 2.377081e-01, 1.192336e-02, 4.951631e-05
 2.449299e-01, 1.129678e-02, 4.594958e-05
 2.521516e-01, 1.077405e-02, 4.524756e-05
 2.593734e-01, 1.049361e-02, 4.337757e-05
 2.665952e-01, 1.026899e-02, 4.154865e-05
 2.738170e-01, 1.007947e-02, 4.107163e-05
 2.810388e-01, 9.873423e-03, 4.055965e-05
 2.882606e-01, 9.669998e-03, 4.073610e-05
 2.954824e-01, 9.367824e-03, 3.942818e-05
 3.027041e-01, 9.118531e-03, 4.037634e-05
 3.099259e-01, 8.993728e-03, 3.874053e-05
 3.171477e-01, 8.918758e-03, 3.886658e-05
 3.243695e-01, 8.773166e-03, 3.932732e-05
 3.315913e-01, 8.902974e-03, 3.838559e-05
 3.388131e-01, 9.067616e-03, 3.838525e-05
 3.460349e-01, 9.503239e-03, 3.958240e-05
 3.532567e-01, 9.748048e-03, 4.057955e-05
 3.604784e-01, 1.031100e-02, 3.995131e-05
 3.677002e-01, 1.068731e-02, 4.180860e-05
 3.749220e-01, 1.115705e-02, 4.223733e-05
 3.821438e-01, 1.169119e-02, 4.314887e-05
 3.893656e-01, 1.205021e-02, 4.371819e-05
 3.965874e-01, 1.215580e-02, 4.286674e-05
 4.038092e-01, 1.211805e-02, 4.426626e-05
 4.110309e-01, 1.168990e-02, 4.126665e-05
 4.182527e-01, 1.102078e-02, 4.084908e-05
 4.254745e-01, 1.036100e-02, 3.936471e-05
 4.326963e-01, 9.656535e-03, 3.642109e-05
 4.399181e-01, 9.168381e-03, 3.425046e-05
 4.471399e-01, 8.742526e-03, 3.345529e-05
 4.543617e-01, 8.508161e-03, 3.192898e-05
 4.615835e-01, 8.302407e-03, 3.118100e-05
 4.688052e-01, 8.130424e-03, 3.096883e-05
 4.760270e-01, 8.027234e-03, 2.970768e-05
 4.832488e-01, 7.936596e-03, 2.987633e-05
 4.904706e-01, 7.863914e-03, 2.875832e-05
 4.976924e-01, 7.892974e-03, 2.895028e-05
 5.049142e-01, 7.783840e-03, 2.871582e-05
 5.121360e-01, 7.769522e-03, 2.811577e-05
 5.193577e-01, 7.607668e-03, 2.775117e-05
 5.265795e-01, 7.689928e-03, 2.775225e-05
 5.338013e-01, 7.696642e-03, 2.694925e-05
